,island,,Linguistic unit,P type,Image ID,Male 1,Male 2,Female 2,,,Freq bin,Conc bin,Syllable,
,,Target,She likes the island,target,19178037,,M2_Noun_transitiveend_1,F2_Noun_transitiveend_1,,,7,7,2,
,,P1,She likes the almond,distant,3191120,,,,,,,,,
,,P2,x,x,x,,,,,,,,,
,,P3,x,x,x,,,,,,,,,
,,S1,She likes the boat,assoc,35138139,,,,,,,,,
,,S2,She likes the shell,assoc,50806008,,,,,,,,,
,,Un,She likes the dog,un,47080304,,,,,,,,,
,,Un,She likes the swing,un,49071878,,,,,,,,,
,,,,,,,,,,,,,,
,career,,Linguistic unit,P type,Image ID,Male 1,Male 2,Female 2,,,Freq bin,Conc bin,Syllable,
,,Target,She has a career,target,53310156,,M2_Noun_transitiveend_2,F2_Noun_transitiveend_2,,,8,4,2,
,,P1,She has a curry,distant,51452409,,,,,,,,,
,,P2,She has an ear,distant,38620788,,,,,,,,,
,,P3,x,x,x,,,,,,,,,
,,S1,She has money,assoc,24845446,,,,,,,,,
,,S2,x,x,x,,,,,,,,,
,,Un,She has a cat,un,22599826,,,,,,,,,
,,Un,She has a bird,un,23488073,,,,,,,,,
,,,,,,,,,,,,,,
,language,,Linguistic unit,P type,Image ID,Male 1,Male 2,Female 2,,,Freq bin,Conc bin,Syllable,
,,Target,She learns the language,target,36524920,,M2_Noun_transitiveend_3,F2_Noun_transitiveend_3,,,7,2,2,
,,P1,x,x,x,,,,,,,,,
,,P2,x,x,x,,,,,,,,,
,,P3,x,x,x,,,,,,,,,
,,S1,She learns the music,coord,39911307,,,,,,,,,
,,S2,She learns the script,assoc,33917242,,,,,,,,,
,,Un,She learns the route,un,53225438,,,,,,,,,
,,Un,She learns the dance,un,38405728,,,,,,,,,
,,,,,,,,,,,,,,
,science,,Linguistic unit,P type,Image ID,Male 1,Male 2,Female 2,,,Freq bin,Conc bin,Syllable,
,,Target,The teacher likes science,target,32511024,,M2_Noun_transitiveend_4,F2_Noun_transitiveend_4,,,6,4,2,
,,P1,The teacher likes silence,mp,53584129,,,,,,,,,
,,P2,x,x,x,,,,,,,,,
,,P3,The teacher likes music,coord,39793476,,,,,,,,,
,,S1,The teacher likes art,coord,33928541,,,,,,,,,
,,S2,x,x,x,,,,,,,,,
,,Un,The teacher likes mess,un,52332562,,,,,,,,,
,,Un,The teacher likes exercise,un,40277707,,,,,,,,,
,,,,,,,,,,,,,,
,justice,,Linguistic unit,P type,Image ID,Male 1,Male 2,Female 2,,,Freq bin,Conc bin,Syllable,
,,Target,She wants justice,target,53310156,,M2_Noun_transitiveend_5,F2_Noun_transitiveend_5,,,7,1,2,
,,P1,She wants a necklace,distant,33916017,,,,,,,,,
,,P2,She wants a jumper,distant,38285108,,,,,,,,,
,,P3,x,x,x,,,,,,,,,
,,S1,She wants peace,assoc,20784460,,,,,,,,,
,,S2,x,x,x,,,,,,,,,
,,Un,She wants a house,un,47609103,,,,,,,,,
,,Un,She wants a blanket,un,29930957,,,,,,,,,
,,,,,,,,,,,,,,
,mistake,,Linguistic unit,P type,Image ID,Male 1,Male 2,Female 2,,,Freq bin,Conc bin,Syllable,
,,Target,He makes a mistake,target,39928269,,M2_Noun_transitiveend_6,F2_Noun_transitiveend_6,,,7,1,2,
,,P1,He makes a steak,close,17343484,,,,,,,,,
,,P2,He makes a cake,distant,10206184,,,,,,,,,
,,P3,x,x,x,,,,,,,,,
,,S1,x,x,x,,,,,,,,,
,,S2,he makes a scarf,un,13735593,,,,,,,,,
,,Un,He makes a painting,un,27722535,,,,,,,,,
,,Un,He makes a jacket,un,49208377,,,,,,,,,
,,,,,,,,,,,,,,
,nature,,Linguistic unit,P type,Image ID,Male 1,Male 2,Female 2,,,Freq bin,Conc bin,Syllable,
,,Target,He loves nature,target,14259763,,M2_Noun_transitiveend_7,F2_Noun_transitiveend_7,,,7,3,2,
,,P1,He loves nachos,distant,29651803,,,,,,,,,
,,P2,x,x,x,,,,,,,,,
,,P3,x,x,x,,,,,,,,,
,,S1,He loves horses,assoc,16658327,,,,,,,,,
,,S2,he loves dogs,assoc,201034253,,,,,,,,,
,,Un,He loves chicken,un,35233010,,,,,,,,,
,,Un,He loves cards,un,41055785,,,,,,,,,
,,,,,,,,,,,,,,
,safety,,Linguistic unit,P type,Image ID,Male 1,Male 2,Female 2,,,Freq bin,Conc bin,Syllable,
,,Target,He works in safety,target,45001925,,M2_Noun_transitiveend_8,F2_Noun_transitiveend_8,,,7,2,2,
,,P1,He works in sailing,distant,52091113,,,,,,,,,
,,P2,x,x,x,,,,,,,,,
,,P3,x,x,x,,,,,,,,,
,,S1,x,x,x,,,,,,,,,
,,S2,x,x,x,,,,,,,,,
,,Un,He works in science,un,32511024,,,,,,,,,
,,Un,He works in law,un,33765791,,,,,,,,,
,,,,,,,,,,,,,,
,knowledge,,Linguistic unit,P type,Image ID,Male 1,Male 2,Female 2,,,Freq bin,Conc bin,Syllable,
,,Target,He shares his knowledge,target,41856544,,M2_Noun_transitiveend_9,F2_Noun_transitiveend_9,,,7,1,2,
,,P1,He shares his sausage,distant,18713376,,,,,,,,,
,,P2,x,x,x,,,,,,,,,
,,P3,x,x,x,,,,,,,,,
,,S1,He shares his lollipop,coord,50493876,,,,,,,,,
,,S2,x,x,x,,,,,,,,,
,,Un,He shares his love,un,17265799,,,,,,,,,
,,Un,He shares his music,un,19037372,,,,,,,,,
,,,,,,,,,,,,,,
,bedroom,,Linguistic unit,P type,Image ID,Male 1,Male 2,Female 2,,,Freq bin,Conc bin,Syllable,
,,Target,the maid cleans the bedroom,target,274592342,M1_Noun_transitiveend_12,,F2_Noun_transitiveend_12,,,8,7,1,
,,P1,the maid cleans the bathroom,close,194984315,,,,,,,,,
,,P2,x,x,x,,,,,,,,,
,,P3,x,x,x,,,,,,,,,
,,S1,the maid cleans the living room,coord,166287176,,,,,,,,,
,,S2,x,x,x,,,,,,,,,
,,Un,the maid cleans the floor,un,166287182,,,,,,,,,
,,Un,the maid cleans the window,un,183164669,,,,,,,,,
,,,,,,,,,,,,,,
,typewriter,,Linguistic unit,P type,Image ID,Male 1,Male 2,Female 2,,,Freq bin,Conc bin,Syllable,
,,Target,he uses the typewriter,target,328977077,M1_Noun_transitiveend_15,,F2_Noun_transitiveend_15,,,4,7,3,
,,P1,x,x,x,,,,,,,,,
,,P2,he uses the lighter,distant,320898851,,,,,,,,,
,,P3,x,x,x,,,,,,,,,
,,S1,he uses the computer,coord,320399756,,,,,,,,,
,,S2,he uses the phone,coord,311400035,,,,,,,,,
,,Un,x,x,x,,,,,,,,,
,,Un,he uses the radio,un,306425741,,,,,,,,,
,,,,,,,,,,,,,,
,rainbow,,Linguistic unit,P type,Image ID,Male 1,Male 2,Female 2,,,Freq bin,Conc bin,Syllable,
,,Target,he loves the rainbow,target,132632972,M1_Noun_transitiveend_17,,F2_Noun_transitiveend_17,,,6,7,2,
,,P1,he loees the crossbow,distant,79178638,,,,,,,,,
,,P2,he loves the rain,distant/coord,289942922,,,,,,,,,
,,P3,he loves the bow,distant,38261293,,,,,,,,,
,,S1,he loves the sunset,coord,15135205,,,,,,,,,
,,S2,he loves the umberella,coord,4096061,,,,,,,,,
,,Un,x,x,x,,,,,,,,,
,,Un,x,x,x,,,,,,,,,
,,,,,,,,,,,,,,
,bathroom,,Linguistic unit,P type,Image ID,Male 1,Male 2,Female 2,,,Freq bin,Conc bin,Syllable,
,,Target,the maid cleans the bathroom,target,194984315,M1_Noun_transitiveend_18,,F2_Noun_transitiveend_18,,,7,7,2,
,,P1,the maid cleans the bedroom,close,274592342,,,,,,,,,
,,P2,x,x,x,,,,,,,,,
,,P3,x,x,x,,,,,,,,,
,,S1,the maid cleans the living room,coord,166287176,,,,,,,,,
,,S2,x,x,x,,,,,,,,,
,,Un,the maid cleans the floor,un,166287182,,,,,,,,,
,,Un,the maid cleans the window,un,183164669,,,,,,,,,
,,,,,,,,,,,,,,
,mushroom,,Linguistic unit,P type,Image ID,Male 1,Male 2,Female 2,,,Freq bin,Conc bin,Syllable,
,,Target,the cook cuts a mushroom,target,130753628,M1_Noun_transitiveend_19,,F2_Noun_transitiveend_19,,,5,7,2,
,,P1,x,x,x,,,,,,,,,
,,P2,x,x,x,,,,,,,,,
,,P3,the cook cuts a carrot,assoc,257104510,,,,,,,,,
,,S1,the cook cuts an onion,assoc,130666667,,,,,,,,,
,,S2,the cook cuts a pepper,assoc,130654985,,,,,,,,,
,,Un,the cook cuts a cucumber,assoc,130666601,,,,,,,,,
