3,cleans,,Linguistic unit,P type,Image ID,Female 1,Female 2,Male 2,Male 3,,Freq bin,Conc bin,Syllable,
,,Target,The man cleans the plate,target,255992242,F1_Verb_transitive_3,F2_Verb_transitive_105,M2_Verb_transitive_105,M3_Verb_transitive_3,,6,5,1,
,,P1,x,x,x,,,,,,,,,
,,P2,The man clears the plate,distant,84571393,,,,,,,,,
,,P3,x,x,x,,,,,,,,,
,,S1,The man dries the plate,coord,236457589,,,,,,,,,
,,S2,The man serves the plate,coord,35510165,,,,,,,,,
,,Un,The man makes the plate,un,164192507,,,,,,,,,
,,Un,The man licks the plate,un,47401462,,,,,,,,,
,,,,,,,,,,,,,,
4,type,,Linguistic unit,P type,Image ID,Female 1,Female 2,Male 2,Male 3,,Freq bin,Conc bin,Syllable,
,,Target,The woman types a letter,target,97688951,F1_Verb_transitive_4,F2_Verb_transitive_104,M2_Verb_transitive_104,M3_Verb_transitive_4,,4,4,1,
,,P1,x,x,x,,,,,,,,,
,,P2,The woman wipes a letter,mp,276378581,,,,,,,,,
,,P3,x,x,x,,,,,,,,,
,,S1,The woman writes a letter,coord,129996914,,,,,,,,,
,,S2,The woman posts a letter,coord,46969977,,,,,,,,,
,,Un,The woman gives a letter,un,33959334,,,,,,,,,
,,Un,The woman hides the letter,un,36410388,,,,,,,,,
,,,,,,,,,,,,,,
6,lock,,Linguistic unit,P type,Image ID,Female 1,Female 2,Male 2,Male 3,,Freq bin,Conc bin,Syllable,
,,Target,he locks the door,target,107034689,F1_Verb_transitive_6,,,M3_Verb_transitive_6,,6,7,1,
,,P1,he blocks the door,mp,146964704,,,,,,,,,
,,P2,x,x,x,,,,,,,,,
,,P3,x,x,x,,,,,,,,,
,,S1,he opens the door,coord,134272517,,,,,,,,,
,,S2,he fixes the door,assoc,295486484,,,,,,,,,
,,Un,he hits the door,un,9871051,,,,,,,,,
,,Un,he knocks the door,un,30886078,,,,,,,,,
,,,,,,,,,,,,,,
7,block,,Linguistic unit,P type,Image ID,Female 1,Female 2,Male 2,Male 3,,Freq bin,Conc bin,Syllable,
,,Target,the man blocks the door,target,146964704,F1_Verb_transitive_7,,,M3_Verb_transitive_7,,6,4,1,
,,P1,the man locks the door,mp,107034689,,,,,,,,,
,,P2,the man knocks the door,mp,30886078,,,,,,,,,
,,P3,x,x,x,,,,,,,,,
,,S1,the man opens the door,coord,134272517,,,,,,,,,
,,S2,the man fixes the door,assoc,295486484,,,,,,,,,
,,Un,the man hits the door,un,9871051,,,,,,,,,
,,Un,x,x,x,,,,,,,,,
,,,,,,,,,,,,,,
8,lick,,Linguistic unit,P type,Image ID,Female 1,Female 2,Male 2,Male 3,,Freq bin,Conc bin,Syllable,
,,Target,the girl licks an ice-cream,target,103353431,F1_Verb_transitive_8,,,M3_Verb_transitive_8,,5,7,1,
,,P1,the girl kicks an ice-cream,mp,45055555,,,,,,,,,
,,P2,the girl picks an ice-cream,mp,152315105,,,,,,,,,
,,P3,the girl lifts an ice-cream,close,41602096,,,,,,,,,
,,S1,the girl eats an ice-cream,assoc,240210358,,,,,,,,,
,,S2,x,x,x,,,,,,,,,
,,Un,the girl drops an ice cream,un,75448525,,,,,,,,,
,,Un,x,x,x,,,,,,,,,
,,,,,,,,,,,,,,
10,elect,,Linguistic unit,P type,Image ID,Female 1,Female 2,Male 2,Male 3,,Freq bin,Conc bin,Syllable,
,,Target,They elect the woman,target,44925575,,F2_Verb_transitive_10,M2_Verb_transitive_10,,,5,2,2,
