,flower,,Linguistic unit,P type,Image ID,Female 2,Male 1,Male 2,,,Freq bin,Conc bin,Syllable,
,,Target,her flower is typical,target,175481372,F2_Noun_predicative_1,M1_Noun_predicative_1,,,,7,7,2,
,,P1,her tower is typical,mp,142845055,,,,,,,,,
,,P2,her shower is typical,mp,201801209,,,,,,,,,
,,P3,x,x,x,,,,,,,,,
,,S1,her plant is typical,coord,78006022,,,,,,,,,
,,S2,her vase is typical,assoc,13681709,,,,,,,,,
,,Un,x,x,x,,,,,,,,,
,,Un,her bath is typical,un,164536922,,,,,,,,,
,,,,,,,,,,,,,,
,bedroom,,Linguistic unit,P type,Image ID,Female 2,Male 1,Male 2,,,Freq bin,Conc bin,Syllable,
,,Target,the bedroom is tidy,target,167662,F2_Noun_predicative_2,M1_Noun_predicative_2,,,,8,7,2,
,,P1,the bathroom is tidy,close,5689075,,,,,,,,,
,,P2,x,x,x,,,,,,,,,
,,P3,x,x,x,,,,,,,,,
,,S1,the wardrobe is tidy,assoc,299755658,,,,,,,,,
,,S2,the bed is tidy,assoc,33724414,,,,,,,,,
,,Un,the bookcase is tidy,un,196039253,,,,,,,,,
,,Un,the desk is tidy,un,123654789,,,,,,,,,
,,,,,,,,,,,,,,
,silver,,Linguistic unit,P type,Image ID,Female 2,Male 1,Male 2,,,Freq bin,Conc bin,Syllable,
,,Target,the silver is old,target,218030857,F2_Noun_predicative_3,M1_Noun_predicative_3,,,,8,7,2,
,,P1,the sailor is old,close,302885411,,,,,,,,,
,,P2,the saucer is old,distant,33978516,,,,,,,,,
,,P3,the singer is old,distant,131682332,,,,,,,,,
,,S1,the gold is old,coord,129322343,,,,,,,,,
,,S2,the coin is old,assoc,255690187,,,,,,,,,
,,Un,x,x,x,,,,,,,,,
,,Un,x,x,x,,,,,,,,,
,,,,,,,,,,,,,,
,bathroom,,Linguistic unit,P type,Image ID,Female 2,Male 1,Male 2,,,Freq bin,Conc bin,Syllable,
,,Target,the bathroom is white,target,5689075,F2_Noun_predicative_10,M1_Noun_predicative_10,,,,7,7,2,
,,P1,the bedroom is white,close,55476448,,,,,,,,,
,,P2,the bathrobe is white,close,102381484,,,,,,,,,
,,P3,x,x,x,,,,,,,,,
,,S1,the kitchen is white,coord,48976963,,,,,,,,,
,,S2,the towel is white,assoc,109079729,,,,,,,,,
,,Un,the plug is white,assoc,15494026,,,,,,,,,
,,Un,x,x,x,,,,,,,,,
,,,,,,,,,,,,,,
,mushroom,,Linguistic unit,P type,Image ID,Female 2,Male 1,Male 2,,,Freq bin,Conc bin,Syllable,
,,Target,the mushroom is white,target,65475254,F2_Noun_predicative_11,M1_Noun_predicative_11,,,,5,7,2,
,,P1,the mansion is white,distant,70864330,,,,,,,,,
,,P2,the martian is white,distant,288909992,,,,,,,,,
,,P3,x,x,x,,,,,,,,,
,,S1,the flower is white,assoc,175481372,,,,,,,,,
,,S2,the onion is white,assoc,216613948,,,,,,,,,
,,Un,the cottage is white,un,274467731,,,,,,,,,
