1,bedroom,,Linguistic unit,P type,Image ID,Male 1,Male 2,Male 3,Female 2,,Freq bin,Conc bin,Syllable,,,
,,Target,the maid cleans the bedroom in the hotel,target,274592342,,,M3_Noun_transitivePP_1,F2_Noun_transitivePP_1,,8,7,1,,,
,,P1,the maid cleans the bathroom in the hotel,close,194984315,,,,,,,,,,,
,,P2,x,x,x,,,,,,,,,,,
,,P3,x,x,x,,,,,,,,,,,
,,S1,the maid cleans the living room in the hotel,coord,166287176,,,,,,,,,,,
,,S2,x,x,x,,,,,,,,,,,
,,Un,the maid cleans the floor in the hotel,un,166287182,,,,,,,,,,,
,,Un,the maid cleans the window in the hotel,un,183164669,,,,,,,,,,,
,,,,,,,,,,,,,,,,
3,mushroom,,Linguistic unit,P type,Image ID,Male 1,Male 2,Male 3,Female 2,,Freq bin,Conc bin,Syllable,,,
,,Target,the cook chops a mushroom on the chopping board,target,130753628,,,M3_Noun_transitivePP_3,F2_Noun_transitivePP_3,,5,7,2,,,
,,P1,x,x,x,,,,,,,,,,,
,,P2,x,x,x,,,,,,,,,,,
,,P3,the cook chops a carrot on the chopping board,assoc,257104510,,,,,,,,,,,
,,S1,the cook chops an onion on the chopping board,assoc,130666667,,,,,,,,,,,
,,S2,the cook chops a pepper on the chopping board,assoc,130654985,,,,,,,,,,,
,,Un,the cook chops a cucumber on the chopping board,assoc,130666601,,,,,,,,,,,
,,Un,the cook chops a tomato on the chopping board,assoc,41876749,,,,,,,,,,,
,,,,,,,,,,,,,,,,
6,neck,,Linguistic unit,P type,Image ID,Male 1,Male 2,Male 3,Female 2,,Freq bin,Conc bin,Syllable,,,
,,Target,The woman holds the neck in her hands,target,164183780,,,M3_Noun_transitivePP_6,F2_Noun_transitivePP_6,,8,7,1,,,
,,P1,The woman holds the cheque in her hands,mp,205981591,,,,,,,,,,,
,,P2,The woman holds the wreck  in her hands,mp,135832223,,,,,,,,,,,
,,P3,x,x,x,,,,,,,,,,,
,,S1,The woman holds the necklace  in her hands,subord,33916017,,,,,,,,,,,
,,S2,The woman holds the ankle  in her hands,coord,112950334,,,,,,,,,,,
,,Un,The woman holds the scarf  in her hands,coord,190473419,,,,,,,,,,,
,,Un,x,x,x,,,,,,,,,,,
,,,,,,,,,,,,,,,,
7,lady,,Linguistic unit,P type,Image ID,Male 1,Male 2,Male 3,Female 2,,Freq bin,Conc bin,Syllable,,,
,,Target,the lady uses the phone at at home,target,126153506,,,M3_Noun_transitivePP_7,F2_Noun_transitivePP_7,,8,6,2,,,
,,P1,the baby uses the phone at home,distant,23830819,,,,,,,,,,,
,,P2,x,x,x,,,,,,,,,,,
,,P3,x,x,x,,,,,,,,,,,
,,S1,the girl uses the phone at home,coord,132348320,,,,,,,,,,,
,,S2,the man uses the phone at home,coord,87275050,,,,,,,,,,,
,,Un,the boy uses the phone at home,coord,279289346,,,,,,,,,,,
,,Un,the dog uses the phone at home,un,117492673,,,,,,,,,,,
,,,,,,,,,,,,,,,,
9,dart,,Linguistic unit,P type,Image ID,Male 1,Male 2,Male 3,Female 2,,Freq bin,Conc bin,Syllable,,,
,,Target,the art is on the wall in the house,target,54508011,,,M3_Noun_transitivePP_9,F2_Noun_transitivePP_9,,5,7,1,,,
,,P1,the heart is on the wall in the house,mp,122500636,,,,,,,,,,,
,,P2,the dart is on the wall in the house,mp,135168752,,,,,,,,,,,
,,P3,x,x,x,,,,,,,,,,,
,,S1,the dartboard is on the wall in the house,assoc,98658545,,,,,,,,,,,
,,S2,x,x,x,,,,,,,,,,,
,,Un,the paint is on the wall in the house,assoc,37101451,,,,,,,,,,,
,,Un,the plant is on the wall in the house,un,69584754,,,,,,,,,,,
,,,,,,,,,,,,,,,,
13,cart,,Linguistic unit,P type,Image ID,Male 1,Male 2,Male 3,Female 2,,Freq bin,Conc bin,Syllable,,,
,,Target,the dog has a cart to play with,target,286018523,,,M3_Noun_transitivePP_13,F2_Noun_transitivePP_13,,5,7,1,,,
,,P1,the dog has a heart to play with,mp,173014952,,,,,,,,,,,
,,P2,the dog has a car to play with,mp,209412904,,,,,,,,,,,
,,P3,the dog has a card to play with,mp,179732639,,,,,,,,,,,
,,S1,the dog has a scooter to play with,coord,174700670,,,,,,,,,,,
,,S2,x,x,x,,,,,,,,,,,
,,Un,x,x,x,,,,,,,,,,,
,,Un,the dog has a toy to play with,un,291462158,,,,,,,,,,,
,,,,,,,,,,,,,,,,
16,hammer,,Linguistic unit,P type,Image ID,Male 1,Male 2,Male 3,Female 2,,Freq bin,Conc bin,Syllable,,,
,,Target,the man uses a hammer on his day off,target,315475769,,,M3_Noun_transitivePP_16,F2_Noun_transitivePP_16,,7,7,2,,,
,,P1,the man uses a hamper on his day off,mp,151925816,,,,,,,,,,,
,,P2,the man uses a hanger  on his day off,mp,280925774,,,,,,,,,,,
,,P3,the man uses a scanner  on his day off,distant,3322510,,,,,,,,,,,
,,S1,the man uses a saw  on his day off,coord,112072841,,,,,,,,,,,
,,S2,the man uses a spanner  on his day off,coord,234851836,,,,,,,,,,,
,,Un,x,x,x,,,,,,,,,,,
,,Un,x,x,x,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,wall,,Linguistic unit,P type,Image ID,Male 1,Male 2,Male 3,Female 2,,Freq bin,Conc bin,Syllable,,,
,,Target,he fixes the wall  in his hand,target,122509672,,,M3_Noun_transitivePP_19,F2_Noun_transitivePP_19,,8,7,1,,,
,,P1,he fixes the wheel  in his hand,mp,249434689,,,,,,,,,,,
,,P2,he fixes the ball  in his hand,mp,39731194,,,,,,,,,,,
,,P3,x,x,x,,,,,,,,,,,
,,S1,he fixes the window  in his hand,coord,94503190,,,,,,,,,,,
,,S2,he fixes the ceiling  in his hand,coord,129232532,,,,,,,,,,,
,,Un,he fixes the fence  in his hand,coord,15239422,,,,,,,,,,,
,,Un,x,x,x,,,,,,,,,,,
,,,,,,,,,,,,,,,,
25,butterfly,,Linguistic unit,P type,Image ID,Male 1,Male 2,Male 3,Female 2,,Freq bin,Conc bin,Syllable,,,
,,Target,He feels the butterfly on his nose,target,143498137,,,M3_Noun_transitivePP_25,F2_Noun_transitivePP_25,,6,7,3,,,
,,P1,x,x,x,,,,,,,,,,,
,,P2,x,x,x,,,,,,,,,,,
,,P3,He feels the fly on his nose,distant,66699028,,,,,,,,,,,
,,S1,He feels the bee on his nose,coord,160525967,,,,,,,,,,,
,,S2,He feel the ladybird on his nose,coord,29579935,,,,,,,,,,,
,,Un,He feels the snail on his nose,un,1027757,,,,,,,,,,,
,,Un,He feels the horse on his nose,un,16658327,,,,,,,,,,,
,,,,,,,,,,,,,,,,
34,escalator,,Linguistic unit,P type,Image ID,Male 1,Male 2,Male 3,Female 2,,Freq bin,Conc bin,Syllable,,,
,,Target,he holds the escalator with his hands,target,50402473,,,M3_Noun_transitivePP_34,F2_Noun_transitivePP_34,,4,7,4,,,
,,P1,he holds the calculator with his hands,mp,239062618,,,,,,,,,,,
,,P2,he holds the grater with his hands,mp,292934069,,,,,,,,,,,
,,P3,he holds the alligator with his hands,close,183043415,,,,,,,,,,,
,,S1,he holds the stairs with his hands,coord,45100279,,,,,,,,,,,
,,S2,he holds the computer with his hands,coord,5559412,,,,,,,,,,,
,,Un,x,x,x,,,,,,,,,,,
,,Un,x,x,x,,,,,,,,,,,
,,,,,,,,,,,,,,,,
36,throne,,Linguistic unit,P type,Image ID,Male 1,Male 2,Male 3,Female 2,,Freq bin,Conc bin,Syllable,,,
,,Target,he uses the throne some of the time,target,214078708,,,M3_Noun_transitivePP_36,F2_Noun_transitivePP_36,,6,7,1,,,
,,P1,he uses the home some of the time,mp,27421377,,,,,,,,,,,
,,P2,he uses the gnome some of the time,mp,163246046,,,,,,,,,,,
,,P3,he uses the foam some of the time,mp,74189155,,,,,,,,,,,
,,S1,he uses the chair some of the time,coord,3259218,,,,,,,,,,,
,,S2,he uses the crown some of the time,coord,146076287,,,,,,,,,,,
,,Un,x,x,x,,,,,,,,,,,
,,Un,x,x,x,,,,,,,,,,,
,,,,,,,,,,,,,,,,
37,dome,,Linguistic unit,P type,Image ID,Male 1,Male 2,Male 3,Female 2,,Freq bin,Conc bin,Syllable,,,
,,Target,he uses the dome for a while,target,257451121,,,M3_Noun_transitivePP_37,F2_Noun_transitivePP_37,,5,7,1,,,
,,P1,he uses the home  for a while,mp,276568709,,,,,,,,,,,
,,P2,he uses the throne  for a while,mp,214078708,,,,,,,,,,,
,,P3,he uses the foam  for a while,mp,45059092,,,,,,,,,,,
,,S1,he uses the tower  for a while,coord,144019315,,,,,,,,,,,
,,S2,he uses the teepee  for a while,coord,3333610,,,,,,,,,,,
,,Un,x,x,x,,,,,,,,,,,
,,Un,x,x,x,,,,,,,,,,,
,,,,,,,,,,,,,,,,
40,flower,,Linguistic unit,P type,Image ID,Male 1,Male 2,Male 3,Female 2,,Freq bin,Conc bin,Syllable,,,
,,Target,she likes the flower today,target,224471617,,,M3_Noun_transitivePP_40,F2_Noun_transitivePP_40,,7,7,2,,,
,,P1,she likes the tower  today,mp,303476060,,,,,,,,,,,
,,P2,she likes the shower  today,mp,126536075,,,,,,,,,,,
,,P3,x,x,x,,,,,,,,,,,
,,S1,she likes the plant  today,coord,48950445,,,,,,,,,,,
,,S2,she likes the vase  today,coord,164536922,,,,,,,,,,,
,,Un,she likes the bath  today,un,30524832,,,,,,,,,,,
,,Un,x,x,x,,,,,,,,,,,
,,,,,,,,,,,,,,,,
41,shore,,Linguistic unit,P type,Image ID,Male 1,Male 2,Male 3,Female 2,,Freq bin,Conc bin,Syllable,,,
