2,green,,Linguistic unit,P type,Image ID,Female 1,Male 3,,,,Freq bin,Conc bin,Syllable,
,,Target,the green water smells,target,297737546,F1_Adjective_intransitive_sentence_2,M3_Adjective_intransitive_sentence_2,,,,8,6,1,0
,,P1,the clean water smells,mp,12522351,,,,,,,,,
,,P2,x,x,x,,,,,,,,,
,,P3,x,x,x,,,,,,,,,
,,S1,the red water smells,sem,205900462,,,,,,,,,
,,S2,x,x,x,,,,,,,,,
,,S3,the white water smells,un,11122122,,,,,,,,,
,,Un,the fresh water smells,un,262980617,,,,,,,,,
,,,,,,,,,,,,,,
3,cold,,Linguistic unit,P type,Image ID,Female 1,Male 3,,,,Freq bin,Conc bin,Syllable,
,,Target,the cold man looks,target,28666396,F1_Adjective_intransitive_sentence_3,M3_Adjective_intransitive_sentence_3,,,,8,5,1,
,,P1,the old man looks,mp,17244962,,,,,,,,,
,,P2,the bold man  looks,mp,10681814,,,,,,,,,
,,P3,x,x,x,,,,,,,,,
,,S1,the hot man looks,sem,278138576,,,,,,,,,
,,S2,the funny man looks,sem,161143730,,,,,,,,,
,,S3,the warm man looks,un,210760174,,,,,,,,,
,,Un,x,x,x,,,,,,,,,
,,,,,,,,,,,,,,
4,fat,,Linguistic unit,P type,Image ID,Female 1,Male 3,,,,Freq bin,Conc bin,Syllable,
,,Target,the fat dog sniffs,target,79922119,F1_Adjective_intransitive_sentence_4,M3_Adjective_intransitive_sentence_4,,,,7,7,1,
,,P1,the fast dog sniffs,close,213511198,,,,,,,,,
,,P2,x,x,x,,,,,,,,,
,,P3,x,x,x,,,,,,,,,
,,S1,the thin dog sniffs,sem,129252854,,,,,,,,,
,,S2,the tall dog sniffs,sem,132126536,,,,,,,,,
,,S3,the long dog sniffs,un,38095165,,,,,,,,,
,,Un,the hairy dog sniffs,un,91165610,,,,,,,,,
,,,,,,,,,,,,,,
5,short,,Linguistic unit,P type,Image ID,Female 1,Male 3,,,,Freq bin,Conc bin,Syllable,
,,Target,The short man stands,target,165957485,F1_Adjective_intransitive_sentence_5,M3_Adjective_intransitive_sentence_5,,,,8,5,1,
,,P1,x,x,x,,,,,,,,,
,,P2,x,x,x,,,,,,,,,
,,P3,x,x,x,,,,,,,,,
,,S1,The tall man stands,sem,165772664,,,,,,,,,
,,S2,The bald man stands,sem,35314865,,,,,,,,,
,,S3,The old man stands,un,17244962,,,,,,,,,
,,Un,The gold man stands,un,24381398,,,,,,,,,
,,,,,,,,,,,,,,
7,happy,,Linguistic unit,P type,Image ID,Female 1,Male 3,,,,Freq bin,Conc bin,Syllable,
,,Target,The happy child breathes,target,25247848,F1_Adjective_intransitive_sentence_7,M3_Adjective_intransitive_sentence_7,,,,8,3,2,
,,P1,x,x,x,,,,,,,,,
,,P2,x,x,x,,,,,,,,,
,,P3,x,x,x,,,,,,,,,
,,S1,the grumpy child  breathes,sem,50062472,,,,,,,,,
,,S2,the sad child  breathes,sem,332187713,,,,,,,,,
,,S3,the sick child  breathes,un,180192032,,,,,,,,,
,,Un,the quiet child  breathes,un,143759767,,,,,,,,,
,,,,,,,,,,,,,,
8,sad,,Linguistic unit,P type,Image ID,Female 1,Male 3,,,,Freq bin,Conc bin,Syllable,
,,Target,the sad child  breathes,target,332187713,F1_Adjective_intransitive_sentence_8,M3_Adjective_intransitive_sentence_8,,,,7,4,1,
,,P1,the bad child breathes,mp,90342844,,,,,,,,,
,,P2,x,x,x,,,,,,,,,
,,P3,x,x,x,,,,,,,,,
,,S1,The happy child breathes,sem,25247848,,,,,,,,,
,,S2,the grumpy child  breathes,sem,50062472,,,,,,,,,
,,S3,x,x,x,,,,,,,,,
,,Un,the sick child  breathes,un,180192032,,,,,,,,,
,,,,,,,,,,,,,,
9,unhappy,,Linguistic unit,P type,Image ID,Female 1,Male 3,,,,Freq bin,Conc bin,Syllable,
,,Target,the unhappy child thinks,target,332187713,F1_Adjective_intransitive_sentence_9,M3_Adjective_intransitive_sentence_9,,,,6,2,3,
,,P1,x,x,x,,,,,,,,,
,,P2,x,x,x,,,,,,,,,
,,P3,x,x,x,,,,,,,,,
,,S1,The happy child thinks,sem,25247848,,,,,,,,,
,,S2,the naughty child thinks,sem,47225510,,,,,,,,,
,,S3,the sick child thinks,un,180192032,,,,,,,,,
,,Un,the quiet child thinks,un,143759767,,,,,,,,,
,,,,,,,,,,,,,,
10,miserable,,Linguistic unit,P type,Image ID,Female 1,Male 3,,,,Freq bin,Conc bin,Syllable,
,,Target,the miserable child thinks,target,332187713,F1_Adjective_intransitive_sentence_10,M3_Adjective_intransitive_sentence_10,,,,6,1,4,
,,P1,x,x,x,,,,,,,,,
,,P2,x,x,x,,,,,,,,,
,,P3,x,x,x,,,,,,,,,
,,S1,The happy child thinks,sem,25247848,,,,,,,,,
,,S2,the naughty child thinks,sem,47225510,,,,,,,,,
,,S3,the sick child thinks,un,180192032,,,,,,,,,
,,Un,the quiet child thinks,un,143759767,,,,,,,,,
,,,,,,,,,,,,,,
11,cheerful,,Linguistic unit,P type,Image ID,Female 1,Male 3,,,,Freq bin,Conc bin,Syllable,
,,Target,The cheerful child breathes,target,25247848,F1_Adjective_intransitive_sentence_11,M3_Adjective_intransitive_sentence_11,,,,5,2,2,
,,P1,x,x,x,,,,,,,,,
,,P2,x,x,x,,,,,,,,,
,,P3,x,x,x,,,,,,,,,
,,S1,the grumpy child  breathes,sem,50062472,,,,,,,,,
,,S2,the sad child  breathes,sem,332187713,,,,,,,,,
,,S3,the sick child  breathes,un,180192032,,,,,,,,,
,,Un,the quiet child  breathes,un,143759767,,,,,,,,,
,,,,,,,,,,,,,,
12,dusty,,Linguistic unit,P type,Image ID,Female 1,Male 3,,,,Freq bin,Conc bin,Syllable,
,,Target,The dusty saw cuts,target,277040582,F1_Adjective_intransitive_sentence_12,M3_Adjective_intransitive_sentence_12,,,,5,5,2,
,,P1,the rusty saw cuts,mp,20346460,,,,,,,,,
,,P2,x,x,x,,,,,,,,,
,,P3,x,x,x,,,,,,,,,
,,S1,x,x,x,,,,,,,,,
,,S2,the clean saw cuts,sem,114635122,,,,,,,,,
,,S3,the toy saw cuts,un,219517174,,,,,,,,,
,,Un,the big saw cuts,un,171401438,,,,,,,,,
,,,,,,,,,,,,,,
B,red,,Linguistic unit,P type,Image ID,Female 1,Male 3,,,,Freq bin,Conc bin,Syllable,
,,Target,the red insect rests,target,408323917,F1_Adjective_intransitive_sentence_1,M3_Adjective_intransitive_sentence_1,,,,8,6,1,
,,P1,the dead insect rests,mp,317723675,,,,,,,,,
,,P2,x,x,x,,,,,,,,,
,,P3,x,x,x,,,,,,,,,
,,S1,the green insect rests,sem,334356071,,,,,,,,,
,,S2,the blue insect rests,sem,32504741,,,,,,,,,
,,S3,the stripey insect rests,un,207580279,,,,,,,,,
,,Un,the big insect rests,un,133719272,,,,,,,,,
,,,,,,,,,,,,,,
B,tall,,Linguistic unit,P type,Image ID,Female 1,Male 3,,,,Freq bin,Conc bin,Syllable,
,,Target,The tall man stands,target,165772664,F1_Adjective_intransitive_sentence_6,M3_Adjective_intransitive_sentence_6,,,,7,4,1,
,,P1,x,x,x,,,,,,,,,
,,P2,x,x,x,,,,,,,,,
,,P3,x,x,x,,,,,,,,,
,,S1,The short man stands,sem,165957485,,,,,,,,,
,,S2,The bald man stands,sem,35314865,,,,,,,,,
,,Un,The old man stands,un,17244962,,,,,,,,,
,,Un,The gold man stands,un,24381398,,,,,,,,,
