1,blunt,,Linguistic unit,P type,Image ID,Female 1,Female 2,Male 1,Male 3,,Freq bin,Conc bin,Syllable,
,,Target,the pencil is blunt,target,299266625,F1_Adjective_sentence_1,,,M3_Adjective_sentence_1,,5,4,1,
,,P1,the pencil is blue,distant,19379533,,,,,,,,,
,,P2,x,x,x,,,,,,,,,
,,P3,x,x,x,,,,,,,,,
,,S1,the pencil is sharp,sem,88520488,,,,,,,,,
,,S2,the pencil is broken,sem,55838362,,,,,,,,,
,,Un,the pencil is big,un,179722322,,,,,,,,,
,,Un,the pencil is tiny,un,267743294,,,,,,,,,
,,,,,,,,,,,,,,
3,broken,,Linguistic unit,P type,Image ID,Female 1,Female 2,Male 1,Male 3,,Freq bin,Conc bin,Syllable,
,,Target,the pencil is broken,target,55838362,F1_Adjective_sentence_3,,,M3_Adjective_sentence_3,,7,4,2,
,,P1,the pencil is brown,distant,134433206,,,,,,,,,
,,P2,x,x,x,,,,,,,,,
,,P3,x,x,x,,,,,,,,,
,,S1,the pencil is sharp,sem,88520488,,,,,,,,,
,,S2,the pencil is blunt,sem,299266625,,,,,,,,,
,,Un,the pencil is blue,un,19379533,,,,,,,,,
,,Un,the pencil is big,un,179722322,,,,,,,,,
,,,,,,,,,,,,,,
4,lead,,Linguistic unit,P type,Image ID,Female 1,Female 2,Male 1,Male 3,,Freq bin,Conc bin,Syllable,
,,Target,the pencil is lead,target,88520488,F1_Adjective_sentence_4,,,M3_Adjective_sentence_4,,7,6,1,
,,P1,the pencil is red,mp,68541598,,,,,,,,,
,,P2,x,x,x,,,,,,,,,
,,P3,x,x,x,,,,,,,,,
,,S1,the pencil is brown,un,134433206,,,,,,,,,
,,S2,the pencil is big,un,179722322,,,,,,,,,
,,Un,the pencil is blunt,un,299266625,,,,,,,,,
,,Un,the pencil is blue,un,19379533,,,,,,,,,
,,,,,,,,,,,,,,
5,brown,,Linguistic unit,P type,Image ID,Female 1,Female 2,Male 1,Male 3,,Freq bin,Conc bin,Syllable,
,,Target,the pencil is brown,target,134433206,F1_Adjective_sentence_5,,,M3_Adjective_sentence_5,,7,6,1,
,,P1,the pencil is round,close,34951825,,,,,,,,,
,,P2,x,x,x,,,,,,,,,
,,P3,x,x,x,,,,,,,,,
,,S1,the pencil is blue,sem,19379533,,,,,,,,,
,,S2,the pencil is red,sem,68541598,,,,,,,,,
,,Un,the pencil is broken,un,55838362,,,,,,,,,
,,Un,the pencil is sharp,un,88520488,,,,,,,,,
,,,,,,,,,,,,,,
6,sharp,,Linguistic unit,P type,Image ID,Female 1,Female 2,Male 1,Male 3,,Freq bin,Conc bin,Syllable,
,,Target,the pencil is sharp,target,88520488,F1_Adjective_sentence_6,,,M3_Adjective_sentence_6,,7,5,1,
,,P1,the pencil is short,distant,267743294,,,,,,,,,
,,P2,x,x,x,,,,,,,,,
,,P3,x,x,x,,,,,,,,,
,,S1,the pencil is blunt,sem,299266625,,,,,,,,,
,,S2,the pencil is broken,un,55838362,,,,,,,,,
,,Un,the pencil is big,un,179722322,,,,,,,,,
,,Un,the pencil is blue,un,19379533,,,,,,,,,
,,,,,,,,,,,,,,
7,round,,Linguistic unit,P type,Image ID,Female 1,Female 2,Male 1,Male 3,,Freq bin,Conc bin,Syllable,
,,Target,the pencil is round,target,34951825,F1_Adjective_sentence_7,,,,,7,6,1,
,,P1,the pencil is brown,close,134433206,,,,,,,,,
,,P2,x,x,x,,,,,,,,,
,,P3,x,x,x,,,,,,,,,
,,S1,x,x,x,,,,,,,,,
,,S2,the pencil is red,un,68541598,,,,,,,,,
,,Un,the pencil is broken,un,55838362,,,,,,,,,
,,Un,the pencil is sharp,un,88520488,,,,,,,,,
,,,,,,,,,,,,,,
10,hot,,Linguistic unit,P type,Image ID,Female 1,Female 2,Male 1,Male 3,,Freq bin,Conc bin,Syllable,
,,Target,The food is hot,target,229226074,F1_Adjective_sentence_10,,,M3_Adjective_sentence_10,,8,6,1,
,,P1,x,x,x,,,,,,,,,
,,P2,x,x,x,,,,,,,,,
,,P3,x,x,x,,,,,,,,,
,,S1,The food is cold,sem,32538011,,,,,,,,,
,,S2,The food is old,un,265967048,,,,,,,,,
,,Un,fire,un,280872665,,,,,,,,,
,,Un,The food is wild,un,65475254,,,,,,,,,
,,,,,,,,,,,,,,
11,huge,,Linguistic unit,P type,Image ID,Female 1,Female 2,Male 1,Male 3,,Freq bin,Conc bin,Syllable,
,,Target,the cup is huge,target,45209191,F1_Adjective_sentence_11,,,M3_Adjective_sentence_11,,8,5,1,
,,P1,x,x,x,,,,,,,,,
,,P2,x,x,x,,,,,,,,,
,,P3,x,x,x,,,,,,,,,
,,S1,the cup is tiny,sem,61468480,,,,,,,,,
,,S2,the cup is average,sem,48948737,,,,,,,,,
,,Un,the cup is paper,un,209171185,,,,,,,,,
,,Un,the cup is crumpled,un,155377928,,,,,,,,,
,,,,,,,,,,,,,,
13,different,,Linguistic unit,P type,Image ID,Female 1,Female 2,Male 1,Male 3,,Freq bin,Conc bin,Syllable,
,,Target,the children are different,target,40071085,F1_Adjective_sentence_13,,,M3_Adjective_sentence_13,,8,1,3,
,,P1,x,x,x,,,,,,,,,
,,P2,x,x,x,,,,,,,,,
,,P3,x,x,x,,,,,,,,,
,,S1,the children are similar,sem,269269505,,,,,,,,,
,,S2,the children are identical,sem,3344491,,,,,,,,,
,,Un,child,un,23830819,,,,,,,,,
,,Un,toys,un,114518089,,,,,,,,,
,,,,,,,,,,,,,,
14,wild,,Linguistic unit,P type,Image ID,Female 1,Female 2,Male 1,Male 3,,Freq bin,Conc bin,Syllable,
,,Target,the hair is wild,target,148281971,F1_Adjective_sentence_14,,,M3_Adjective_sentence_14,,7,2,2,
,,P1,the hair is styled,mp,256912663,,,,,,,,,
,,P2,x,x,x,,,,,,,,,
,,P3,x,x,x,,,,,,,,,
,,S1,the hair is straight,sem,257116381,,,,,,,,,
,,S2,the hair is thin,sem,10681814,,,,,,,,,
,,Un,the hair is tied,un,53225438,,,,,,,,,
,,Un,x,x,x,,,,,,,,,
,,,,,,,,,,,,,,
15,blue,,Linguistic unit,P type,Image ID,Female 1,Female 2,Male 1,Male 3,,Freq bin,Conc bin,Syllable,
,,Target,the bag is blue,target,6355906,F1_Adjective_sentence_15,,,M3_Adjective_sentence_15,,8,5,1,
,,P1,the bag is new,mp,32278607,,,,,,,,,
,,P2,x,x,x,,,,,,,,,
,,P3,x,x,x,,,,,,,,,
,,S1,the bag is brown,sem,92516332,,,,,,,,,
,,S2,the bag is big,sem,308566895,,,,,,,,,
,,Un,the bag is leather,un,253140481,,,,,,,,,
,,Un,the bag is useful,un,92386033,,,,,,,,,
,,,,,,,,,,,,,,
16,tiny,,Linguistic unit,P type,Image ID,Female 1,Female 2,Male 1,Male 3,,Freq bin,Conc bin,Syllable,
