7,lock,,Linguistic unit,P type,Image ID,Male 1,Male 2,Female 2,,,Freq bin,Conc bin,Syllable,
,,Target,the man stands with a lock,target,196274444,M1_Noun_intransitivePPend_7,,F2_Noun_intransitivePPend_7,,,6,7,1,
,,P1,the man stands with a sock,mp,310809407,,,,,,,,,
,,P2,the man stands with a rock,mp,290237021,,,,,,,,,
,,P3,the man stands with a clock,mp,234886804,,,,,,,,,
,,S1,the man stands with a key,assoc,228118633,,,,,,,,,
,,S2,x,x,x,,,,,,,,,
,,Un,the man stands with a brick,un,193518410,,,,,,,,,
,,Un,x,x,x,,,,,,,,,
,,,,,,,,,,,,,,
13,typewriter,,Linguistic unit,P type,Image ID,Male 1,Male 2,Female 2,,,Freq bin,Conc bin,Syllable,
,,Target,he works with a typewriter,target,27573228,M1_Noun_intransitivePPend_13,,F2_Noun_intransitivePPend_13,,,4,7,3,
,,P1,x,x,x,,,,,,,,,
,,P2,he works with a lighter,distant,320898851,,,,,,,,,
,,P3,x,x,x,,,,,,,,,
,,S1,he works with a computer,coord,39928269,,,,,,,,,
,,S2,he works with a phone,coord,36971928,,,,,,,,,
,,Un,he works with a pen,assoc,13298068,,,,,,,,,
,,Un,he works with a radio,un,306425741,,,,,,,,,
,,,,,,,,,,,,,,
19,hammer,,Linguistic unit,P type,Image ID,Male 1,Male 2,Female 2,,,Freq bin,Conc bin,Syllable,
,,Target,the man lifts up the hammer,target,315475769,M1_Noun_intransitivePPend_19,,F2_Noun_intransitivePPend_19,,,7,7,2,
,,P1,the man lifts up the hanger,mp,280925774,,,,,,,,,
,,P2,the man lifts up the hamper,mp,151925816,,,,,,,,,
,,P3,x,x,x,,,,,,,,,
,,S1,the man lifts up the saw,coord,331816115,,,,,,,,,
,,S2,the man lifts up the spanner,coord,234851836,,,,,,,,,
,,Un,x,x,x,,,,,,,,,
,,Un,the man lifts up the drum,coord,167129375,,,,,,,,,
,,,,,,,,,,,,,,
23,wall,,Linguistic unit,P type,Image ID,Male 1,Male 2,Female 2,,,Freq bin,Conc bin,Syllable,
,,Target,the woman in near the wall,target,318223523,M1_Noun_intransitivePPend_23,,F2_Noun_intransitivePPend_23,,,8,7,1,
,,P1,the woman is near the well,mp,112600430,,,,,,,,,
,,P2,the woman is near the wool,mp,31344477,,,,,,,,,
,,P3,x,x,x,,,,,,,,,
,,S1,the woman is near the window,coord,84162844,,,,,,,,,
,,S2,the woman is near the fence,coord,295203410,,,,,,,,,
,,Un,x,x,x,,,,,,,,,
,,Un,the woman is near the sheep,un,138153041,,,,,,,,,
,,,,,,,,,,,,,,
26,record,,Linguistic unit,P type,Image ID,Male 1,Male 2,Female 2,,,Freq bin,Conc bin,Syllable,
,,Target,the dog listens to the record,target,27178933,M1_Noun_intransitivePPend_26,,F2_Noun_intransitivePPend_26,,,8,6,2,
,,P1,the dog listens to the radio,distant,228937378,,,,,,,,,
,,P2,x,x,x,,,,,,,,,
,,P3,x,x,x,,,,,,,,,
,,S1,the dog  listens to the CD,coord,115862080,,,,,,,,,
,,S2,the dog listens to the tape,coord,155382872,,,,,,,,,
,,Un,the dog listens to the phone,un,117492673,,,,,,,,,
,,Un,the dog listens to the headphones,un,162386480,,,,,,,,,
,,,,,,,,,,,,,,
27,neck,,Linguistic unit,P type,Image ID,Male 1,Male 2,Female 2,,,Freq bin,Conc bin,Syllable,
,,Target,The hand is on the neck,target,164183780,M1_Noun_intransitivePPend_27,,F2_Noun_intransitivePPend_27,,,8,7,1,
,,P1,The hand is on the cheque,mp,205981591,,,,,,,,,
,,P2,The hand is on the wreck,mp,135832223,,,,,,,,,
