1,make,,Linguistic unit,P type,Image ID,Female 2,Male 2,Male 3,,,Freq bin,Conc bin,Syllable,
,,Target,he makes some bread for dinner,target,261246989,F2_verb_transitivePP_1,,M3_verb_transitivePP_1,,,8,3,1,
,,P1,he breaks some bread for dinner,mp,19579305,,,,,,,,,
,,P2,he bakes some bread for dinner,mp,317198153,,,,,,,,,
,,P3,he takes some bread for dinner,mp,151569650,,,,,,,,,
,,S1,he slices some bread for dinner,coord,286407695,,,,,,,,,
,,S2,x,x,x,,,,,,,,,
,,Un,he butters some bread for dinner,un,46162896,,,,,,,,,
,,Un,x,x,x,,,,,,,,,
,,,,,,,,,,,,,,
2,play,,Linguistic unit,P type,Image ID,Female 2,Male 2,Male 3,,,Freq bin,Conc bin,Syllable,
,,Target,The boy plays with his family at the weekend,target,284522891,F2_verb_transitivePP_2,,M3_verb_transitivePP_2,,,8,4,1,
,,P1,The boy pays with his family at the weekend,mp,127336061,,,,,,,,,
,,P2,The boy prays with his family at the weekend,mp,295211936,,,,,,,,,
,,P3,The boy lays with his family at the weekend,mp,186947729,,,,,,,,,
,,S1,x,x,x,,,,,,,,,
,,S3,The boy reads with his family at the weekend,assoc,205039681,,,,,,,,,
,,Un,x,x,x,,,,,,,,,
,,Un,The boy eats with his family at the weekend,un,207786421,,,,,,,,,
,,,,,,,,,,,,,,
4,pray,,Linguistic unit,P type,Image ID,Female 2,Male 2,Male 3,,,Freq bin,Conc bin,Syllable,
,,Target,The boy prays with his family at the weekend,target,295211936,F2_verb_transitivePP_4,,M3_verb_transitivePP_4,,,6,4,1,
,,P1,The boy pays with his family at the weekend,mp,127336061,,,,,,,,,
,,P2,The boy plays with his family at the weekend,mp,284522891,,,,,,,,,
,,P3,The boy lays with his family at the weekend,mp,186947729,,,,,,,,,
,,S1,x,x,x,,,,,,,,,
,,S2,x,x,x,,,,,,,,,
,,Un,The boy reads with his family at the weekend,un,205039681,,,,,,,,,
,,Un,The boy shops with his family at the weekend,un,84276046,,,,,,,,,
,,,,,,,,,,,,,,
5,meet,,Linguistic unit,P type,Image ID,Female 2,Male 2,Male 3,,,Freq bin,Conc bin,Syllable,
,,Target,The man meets the woman at the restaurant,target,187720691,F2_verb_transitivePP_5,,M3_verb_transitivePP_5,,,8,4,1,
,,P1,the man seats the woman at the restaurant,mp,93716422,,,,,,,,,
,,P2,the man feeds the woman at the restaurant,distant,293316503,,,,,,,,,
,,P3,x,x,x,,,,,,,,,
,,S1,x,x,x,,,,,,,,,
,,S2,x,x,x,,,,,,,,,
,,Un,the man helps the woman at the restaurant,un,301989728,,,,,,,,,
,,Un,the man serves the woman at the restaurant,un,253353463,,,,,,,,,
,,,,,,,,,,,,,,
7,watch,,Linguistic unit,P type,Image ID,Female 2,Male 2,Male 3,,,Freq bin,Conc bin,Syllable,
,,Target,the boy watches the dog after school,target,49122040,F2_verb_transitivePP_7,,M3_verb_transitivePP_7,,,8,7,2,
,,P1,the boy catches the dog after school,close,291064715,,,,,,,,,
,,P2,the boy washes the dog after school,mp,141057496,,,,,,,,,
,,P3,the boy sketches the dog after school,close,313953776,,,,,,,,,
,,S1,x,x,x,,,,,,,,,
,,S2,x,x,x,,,,,,,,,
,,Un,the boy walks the dog after school,un,188428103,,,,,,,,,
,,Un,the boy bites the dog after school,un,32024939,,,,,,,,,
,,,,,,,,,,,,,,
8,catch,,Linguistic unit,P type,Image ID,Female 2,Male 2,Male 3,,,Freq bin,Conc bin,Syllable,
,,Target,the boy catches the dog after school,target,291064715,F2_verb_transitivePP_8,,M3_verb_transitivePP_8,,,8,6,2,
,,P1,the boy watches the dog after school,close,49122040,,,,,,,,,
,,P2,the boy sketches the dog after school,close,313953776,,,,,,,,,
,,P3,the boy kisses the dog after school,distant,13502128,,,,,,,,,
,,S1,x,x,x,,,,,,,,,
,,S2,x,x,x,,,,,,,,,
,,Un,the boy walks the dog after school,un,188428103,,,,,,,,,
,,Un,the boy washes the dog after school,un,141057496,,,,,,,,,
,,,,,,,,,,,,,,
9,work,,Linguistic unit,P type,Image ID,Female 2,Male 2,Male 3,,,Freq bin,Conc bin,Syllable,
,,Target,The man works on the beach in the summer,target,107447321,F2_verb_transitivePP_9,,M3_verb_transitivePP_9,,,8,4,1,
,,P1,The man walks on the beach in the summer,close,116973553,,,,,,,,,
,,P2,x,x,x,,,,,,,,,
,,P3,x,x,x,,,,,,,,,
,,S1,The man relaxes on the beach in the summer,coord,221420479,,,,,,,,,
,,S2,x,x,x,,,,,,,,,
,,Un,The man runs on the beach in the summer,un,208693156,,,,,,,,,
,,Un,The man stretches on the beach in the summer,un,140211604,,,,,,,,,
,,,,,,,,,,,,,,
13,weed,,Linguistic unit,P type,Image ID,Female 2,Male 2,Male 3,,,Freq bin,Conc bin,Syllable,
,,Target,the woman weeds her plants at home,target,318814274,F2_verb_transitivePP_13,,M3_verb_transitivePP_13,,,3,4,1,
,,P1,the woman feeds her plants at home,mp,243025486,,,,,,,,,
